w,q,Tq,Tw,Ts
866.0,867.0,6.439859165531117,6.4197454935932265,0.020113671937883115
866.0,867.0,6.439859165531117,6.4197454935932265,0.020113671937883115
866.0,867.0,6.439859165531117,6.4197454935932265,0.020113671937883115
866.0,867.0,6.439859165531117,6.4197454935932265,0.020113671937883115
866.0,867.0,6.439859165531117,6.4197454935932265,0.020113671937883115
866.0,867.0,6.442579706698639,6.422453417619824,0.02012628907880887
865.8571428571429,866.8571428571429,6.44529612013858,6.425175528215465,0.020120591923108243
865.5,866.5,6.4507163724623,6.430608116762302,0.020108255699990533
865.2222222222222,866.2222222222222,6.4507163724623,6.430608116762302,0.020108255699990533
865.0,866.0,6.4507163724623,6.430608116762302,0.020108255699990533
864.8181818181819,865.8181818181819,6.4507163724623,6.430608116762302,0.020108255699990533
864.6666666666666,865.6666666666666,6.45342423815925,6.433316938315076,0.020107299844166555
864.5384615384615,865.5384615384615,6.45342423815925,6.433316938315076,0.020107299844166555
864.5,865.5,6.45342423815925,6.433316938315076,0.020107299844166555
864.6,865.6,6.45342423815925,6.433316938315076,0.020107299844166555
864.8125,865.8125,6.45342423815925,6.433316938315076,0.020107299844166555
865.0,866.0,6.45342423815925,6.433316938315076,0.020107299844166555
865.4444444444445,866.4444444444445,6.45342423815925,6.433316938315076,0.020107299844166555
865.8947368421053,866.8947368421053,6.45342423815925,6.433316938315076,0.020107299844166555
866.3,867.3,6.45342423815925,6.433316938315076,0.020107299844166555
866.5714285714286,867.5714285714286,6.458878245384804,6.438742133475611,0.02013611190918698
866.7727272727273,867.7727272727273,6.4615813175706265,6.44145219263599,0.020129124934630267
866.9130434782609,867.9130434782609,6.464278957481085,6.444156139473301,0.020122818007778636
867.0416666666666,868.0416666666666,6.464278957481085,6.444156139473301,0.020122818007778636
867.08,868.08,6.469674267357811,6.449556314885358,0.020117952472447992
867.1153846153846,868.1153846153846,6.469674267357811,6.449556314885358,0.020117952472447992
867.1481481481482,868.1481481481482,6.469674267357811,6.449556314885358,0.020117952472447992
867.2142857142857,868.2142857142857,6.469674267357811,6.449556314885358,0.020117952472447992
867.2413793103449,868.2413793103449,6.4723823203391415,6.452260746186184,0.020121574152952484
867.2333333333333,868.2333333333333,6.475089677616084,6.454971348677664,0.020118328938413768
867.2258064516129,868.2258064516129,6.480488207193609,6.4603827883511915,0.02010541884241268
867.21875,868.21875,6.485871749810612,6.465776696613297,0.020095053197310076
867.3333333333334,868.3333333333334,6.485871749810612,6.465776696613297,0.020095053197310076
867.4411764705883,868.4411764705883,6.488568753314871,6.46846645012587,0.020102303188994853
867.5428571428571,868.5428571428571,6.488568753314871,6.46846645012587,0.020102303188994853
867.6111111111111,868.6111111111111,6.491256998198067,6.471158586504989,0.020098411693072523
867.7297297297297,868.7297297297297,6.491256998198067,6.471158586504989,0.020098411693072523
867.8947368421053,868.8947368421053,6.491256998198067,6.471158586504989,0.020098411693072523
868.0769230769231,869.0769230769231,6.491256998198067,6.471158586504989,0.020098411693072523
868.225,869.225,6.499344393263967,6.479252178566435,0.0200922146975271
868.3658536585366,869.3658536585366,6.499344393263967,6.479252178566435,0.0200922146975271
868.5,869.5,6.499344393263967,6.479252178566435,0.0200922146975271
868.6279069767442,869.6279069767442,6.502033702220461,6.481945040208071,0.02008866201238514
868.75,869.75,6.502033702220461,6.481945040208071,0.02008866201238514
868.8888888888889,869.8888888888889,6.502033702220461,6.481945040208071,0.02008866201238514
869.0217391304348,870.0217391304348,6.502033702220461,6.481945040208071,0.02008866201238514
869.1489361702128,870.1489361702128,6.502033702220461,6.481945040208071,0.02008866201238514
869.2708333333334,870.2708333333334,6.502033702220461,6.481945040208071,0.02008866201238514
869.3877551020408,870.3877551020408,6.502033702220461,6.481945040208071,0.02008866201238514
869.5,870.5,6.504730886584752,6.484635998233641,0.020094888351106094
